filename	mark	label	off0	off1	term	code	semantic_rel
es-S1138-123X2005000200006-2	T1	ENFERMEDAD	13	27	labio leporino	80281008	EXACT
es-S1138-123X2005000200006-2	T2	ENFERMEDAD	30	55	fisura palatina bilateral	87979003	NARROW
es-S1138-123X2005000200006-2	T3	ENFERMEDAD	60	95	premaxila estaba protruida y rotada	11301000119103	EXACT
es-S0211-69952011000100019-1	T2	ENFERMEDAD	45	64	glucogenosis tipo V	55912009	EXACT
es-S0211-69952011000100019-1	T3	ENFERMEDAD	66	87	enfermedad de McArdle	55912009	EXACT
es-S0211-69952011000100019-1	T4	ENFERMEDAD	90	112	malformación de Chiari	253184003	EXACT
es-S0211-69952011000100019-1	T6	ENFERMEDAD	1079	1107	comunicación pleuroperitonal	471402000	EXACT
es-S0211-69952011000100019-1	T7	ENFERMEDAD	1474	1483	trombosis	439127006	EXACT
es-S0211-69952011000100019-1	T8	ENFERMEDAD	154	171	atrofia retiniana	405722004	EXACT
es-S0211-69952011000100019-1	T13	ENFERMEDAD	518	528	hidrotórax	79231000	EXACT
es-S0211-69952011000100019-1	T15	ENFERMEDAD	955	963	miositis	26889001	EXACT
es-S1135-76062013000200010-1	T1	ENFERMEDAD	1853	1866	Hemoperitoneo	45626005	EXACT
es-S1135-76062013000200010-1	T3	ENFERMEDAD	2777	2794	shock hemorrágico	355001	EXACT
es-S1135-76062013000200010-1	T4	ENFERMEDAD	72	92	diabetes gestacional	11687002	EXACT
es-S1135-76062013000200010-1	T6	ENFERMEDAD	2812	2838	rotura espontánea hepática	235887001	NARROW
es-S1135-76062013000200010-1	T7	ENFERMEDAD	2857	2877	hematoma subcapsular	35566002	NARROW
es-S1135-76062013000200010-1	T9	ENFERMEDAD	2899	2913	síndrome HELLP	95605009	EXACT
es-S1135-76062013000200010-1	T10	ENFERMEDAD	2651	2679	rotura espontánea del hígado	235887001	NARROW
es-S1135-76062013000200010-1	T11	ENFERMEDAD	2708	2722	síndrome HELLP	95605009	EXACT
