filename	mark	label	off0	off1	term	code	semantic_rel
es-S1138-123X2005000200006-2	T2	ENFERMEDAD	30	55	fisura palatina bilateral	87979003	NARROW
es-S1138-123X2005000200006-2	T3	ENFERMEDAD	60	95	premaxila estaba protruida y rotada	11301000119103	EXACT
es-S0211-69952011000100019-1	T2	ENFERMEDAD	45	64	glucogenosis tipo V	55912009	EXACT
es-S0211-69952011000100019-1	T6	ENFERMEDAD	1079	1107	comunicación pleuroperitonal	471402000	EXACT
es-S1135-76062013000200010-1	T1	ENFERMEDAD	1853	1866	Hemoperitoneo	45626005	EXACT
es-S1135-76062013000200010-1	T2	ENFERMEDAD	2102	2212	hematoma subcapsular extendido a casi la totalidad de la cara superior y posterior del lóbulo derecho hepático	262797004	NARROW
es-S1135-76062013000200010-1	T5	ENFERMEDAD	1969	2002	desgarro de la cápsula de Glisson	243978007	NARROW
es-S1135-76062013000200010-1	T6	ENFERMEDAD	2812	2838	rotura espontánea hepática	235887001	NARROW
es-S1135-76062013000200010-1	T10	ENFERMEDAD	2651	2679	rotura espontánea del hígado	235887001	NARROW
es-S1135-76062013000200010-1	T12	ENFERMEDAD	335	404	cesárea, durante la cual se produjo una hemorragia intensa por atonía	27214003	NARROW
es-S1135-76062013000200010-1	T14	ENFERMEDAD	675	704	hematoma subcapsular hepático	262797004	EXACT
es-S1135-76062013000200010-1	T15	ENFERMEDAD	977	1006	hematoma subcapsular hepático	262797004	EXACT
es-S1130-01082006000900014-1	T2	ENFERMEDAD	1689	1720	neoplasia de cabeza de páncreas	126860002	EXACT
es-S1130-01082006000900014-1	T4	ENFERMEDAD	515	559	dilatación de vía biliar intra-extrahepática	123608004	NARROW
es-S1130-01082006000900014-1	T6	ENFERMEDAD	2719	2776	pseudoaneurisma de rama intrahepática de arteria hepática	315033000	NARROW
es-S1130-01082006000900014-1	T7	ENFERMEDAD	561	582	colédoco muy dilatado	118926004	NARROW
es-S1130-01082006000900014-1	T8	ENFERMEDAD	1153	1191	dilatación de vía biliar intrahepática	123608004	NARROW
es-S1130-01082006000900014-1	T11	ENFERMEDAD	1196	1289	moderada dilatación de colédoco secundario a obstrucción a nivel de porción distal de duodeno	1082431000119108	NARROW
es-S1130-01082006000900014-1	T12	ENFERMEDAD	2365	2416	pseudoaneurisma de 1 cm en rama de arteria hepática	315033000	NARROW
es-S1130-01082006000900014-1	T13	ENFERMEDAD	1241	1289	obstrucción a nivel de porción distal de duodeno	95532008	NARROW
es-S1130-01082006000900014-1	T14	ENFERMEDAD	2532	2580	tortuosidad de tronco celíaco y arteria hepática	460885001	NARROW
es-S1130-01082006000900014-1	T18	ENFERMEDAD	864	890	vesícula biliar distendida	300344005	EXACT
es-S1130-01082008000300010-1	T2	ENFERMEDAD	331	366	catarro de vías respiratorias altas	54150009	EXACT
es-S1130-01082008000300010-1	T4	ENFERMEDAD	1712	1753	insuficiencia ventilatoria no obstructiva	409623005	NARROW
es-S1130-01082008000300010-1	T5	ENFERMEDAD	110	172	enfermedad de Crohn con patrón inflamatorio y afectación ileal	38106008	EXACT
es-S1698-69462006000100006-1	T2	ENFERMEDAD	1721	1740	síndrome miofascial	726531007	EXACT
es-S1698-69462006000100006-1	T4	ENFERMEDAD	701	720	síndrome miofascial	726531007	EXACT
es-S1134-80462014000500004-1	T1	ENFERMEDAD	723	745	Otosclerosis bilateral	11543004	NARROW
es-S1134-80462014000500004-1	T2	ENFERMEDAD	993	1018	Intolerancia al metamizol	698088001	EXACT
es-S1134-80462014000500004-1	T3	ENFERMEDAD	960	968	Obesidad	414916001	EXACT
es-S1134-80462014000500004-1	T4	ENFERMEDAD	1022	1057	Síndrome ansioso-depresivo reactivo	782501005	EXACT
es-S1134-80462014000500004-1	T5	ENFERMEDAD	164	200	Fibrodisplasia osificante progresiva	44551007	NARROW
es-S1134-80462014000500004-1	T6	ENFERMEDAD	814	832	Anemia ferropénica	87522002	EXACT
es-S1134-80462014000500004-1	T7	ENFERMEDAD	1074	1161	insuficiencia respiratoria hipercápnica secundaria a trastorno ventilatorio restrictivo	709109004	NARROW
es-S1134-80462014000500004-1	T8	ENFERMEDAD	619	719	exostosis a nivel de rodilla derecha, y en la primera articulación metatarsofalángica bilateralmente	416189003	NARROW
es-S1134-80462014000500004-1	T10	ENFERMEDAD	1127	1161	trastorno ventilatorio restrictivo	36485005	EXACT
es-S1134-80462014000500004-1	T11	ENFERMEDAD	236	293	Fusión a nivel de cuerpos vertebrales de columna cervical	81099000	EXACT
es-S1134-80462014000500004-1	T12	ENFERMEDAD	2765	2804	episodios dolorosos por neo-osificación	128491006	NARROW
