filename	label	start_span	end_span	term	code	sem_rel	is_abbrev	is_composite	need_context
S0004-06142006000100010-1	PROCEDIMIENTO	681	731	estudio hormonal para la determinación de cortisol	62037009	EXACT	False	False	False
S0004-06142006000100010-1	PROCEDIMIENTO	771	798	cirugía por abordaje lumbar	74943008	NARROW	False	False	False
S0004-06142006000100010-1	PROCEDIMIENTO	961	983	adrenalectomía derecha	726489004	EXACT	False	False	False
S0004-06142006000100014-1	PROCEDIMIENTO	1283	1308	ecografía abdominopélvica	418394000	EXACT	False	False	False
S0004-06142006000100014-1	PROCEDIMIENTO	2539	2570	linfadenectomía hiliar ampliada	234253006	NARROW	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	1985	2016	biopsia del testículo izquierdo	118958009	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	2389	2416	biopsia del teste izquierdo	118958009	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	260	272	orquidopexia	85419002	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	324	347	Uretrotomía endoscópica	236159000	EXACT	False	False	True
S0004-06142006000500002-3	PROCEDIMIENTO	481	485	LEOC	44345001	EXACT	True	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	487	504	Ureterolitectomía	56807000	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	738	751	espermiograma	5025004	EXACT	False	False	False
S0004-06142007000200017-1	PROCEDIMIENTO	1469	1510	TAC toraco-abdomino-pélvico con contraste	433761009	EXACT	True	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	1016	1047	Fasciotomía de la raíz del pene	112699005	NARROW	False	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	1629	1644	linfangiectomía	73178002	EXACT	False	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	650	662	RX de cadera	408740001	EXACT	True	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	910	945	Exploración retroperitoneal derecha	288019006	NARROW	False	False	True
S0004-06142007000600012-1	PROCEDIMIENTO	948	984	Adenectomía de ilíaca derecha y cava	40390002	EXACT	False	False	True
S0004-06142007000600012-1	PROCEDIMIENTO	987	1013	Linfangioplastia con aguja	119952002	EXACT	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	1158	1223	se introduce un uretrotomo endoscópico hasta la uretra prostática	386544003	NARROW	False	False	True
es-S0004-06142007000900010-1	PROCEDIMIENTO	1482	1552	laparotomía hasta la sínfisis del pubis, se revisa de nuevo el abdomen	36519005	EXACT	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	1609	1640	se diseca el espacio de Retzius	70015005	EXACT	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	1643	1713	mediante control radiológico, se palpa la cara anterior de la próstata	418542003	NARROW	False	False	True
