filename	label	start_span	end_span	term	code	sem_rel	is_abbrev	is_composite	need_context
S0004-06142006000100010-1	PROCEDIMIENTO	216	237	ultrasonido abdominal	45036003	EXACT	False	False	False
S0004-06142006000100010-1	PROCEDIMIENTO	348	368	Urograma descendente	32265006	EXACT	False	False	False
S0004-06142006000100010-1	PROCEDIMIENTO	479	493	TAC helicoidal	116152004	EXACT	False	False	True
S0004-06142006000100010-1	PROCEDIMIENTO	681	731	estudio hormonal para la determinación de cortisol	62037009	EXACT	False	False	False
S0004-06142006000100010-1	PROCEDIMIENTO	771	798	cirugía por abordaje lumbar	74943008	NARROW	False	False	False
S0004-06142006000100010-1	PROCEDIMIENTO	804	830	hallazgos transoperatorios	387713003	EXACT	False	False	False
S0004-06142006000100014-1	PROCEDIMIENTO	1283	1308	ecografía abdominopélvica	418394000	EXACT	False	False	False
S0004-06142006000100014-1	PROCEDIMIENTO	2366	2384	drenaje percutáneo	698956007	NARROW	False	False	False
S0004-06142006000100014-1	PROCEDIMIENTO	2421	2472	nefrectomía simple derecha por lumbotomía subcostal	765473008	NARROW	False	False	False
S0004-06142006000100014-1	PROCEDIMIENTO	2473	2525	evacuando 7.800 mililitros de contenido serohemático	118441006	EXACT	False	False	False
S0004-06142006000100014-1	PROCEDIMIENTO	2539	2570	linfadenectomía hiliar ampliada	234253006	NARROW	False	False	False
S0004-06142006000100014-1	PROCEDIMIENTO	2621	2639	cultivo del fluido	61594008	EXACT	False	False	False
S0004-06142006000100014-1	PROCEDIMIENTO	999	1042	marcadores tumorales hepáticos y digestivos	250724005	NARROW	False	False	False
S0004-06142006000500002-2	PROCEDIMIENTO	610	638	ecografía urológica integral	302801006	EXACT	False	False	False
S0004-06142006000500002-2	PROCEDIMIENTO	783	803	TAC abdómino-pélvica	419394006	EXACT	True	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	1530	1574	biopsia del testículo izquierdo vía inguinal	116170001	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	1985	2016	biopsia del testículo izquierdo	118958009	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	2389	2416	biopsia del teste izquierdo	118958009	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	2624	2645	evidencia radiológica	363679005	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	324	347	Uretrotomía endoscópica	236159000	EXACT	False	False	True
S0004-06142006000500002-3	PROCEDIMIENTO	481	485	LEOC	44345001	EXACT	True	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	487	504	Ureterolitectomía	56807000	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	738	751	espermiograma	5025004	EXACT	False	False	False
S0004-06142006000500002-3	PROCEDIMIENTO	789	817	ecografía-doppler testicular	440495009	EXACT	False	False	False
S0004-06142006000900015-1	PROCEDIMIENTO	1222	1256	extirpación de las masas tumorales	370612006	EXACT	False	False	False
S0004-06142006000900015-1	PROCEDIMIENTO	1241	1351	masas tumorales, resecándose la adyacente al hígado así como varios implantes peritoneales y retroperitoneales	370612006	NARROW	False	False	False
S0004-06142006000900015-1	PROCEDIMIENTO	1862	1880	analgésicos suaves	52685006	EXACT	False	False	False
S0004-06142006000900015-1	PROCEDIMIENTO	364	417	nefrectomía radical derecha por laparotomía subcostal	439235001	NARROW	False	False	False
S0004-06142006000900015-1	PROCEDIMIENTO	396	417	laparotomía subcostal	86481000	NARROW	False	False	False
S0004-06142007000200017-1	PROCEDIMIENTO	1469	1510	TAC toraco-abdomino-pélvico con contraste	433761009	EXACT	True	False	False
S0004-06142007000200017-1	PROCEDIMIENTO	1676	1711	orquiectomía bilateral vía inguinal	176417003	EXACT	False	False	False
S0004-06142007000200017-1	PROCEDIMIENTO	951	978	ecografía con flujo Doppler	1187106001	EXACT	False	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	1016	1047	Fasciotomía de la raíz del pene	112699005	NARROW	False	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	579	596	Prueba de Mantoux	424489006	EXACT	False	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	650	662	RX de cadera	408740001	EXACT	True	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	689	702	U/S abdominal	45036003	EXACT	True	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	737	771	TAC simple de hipogastrio y pelvis	419394006	EXACT	True	False	False
S0004-06142007000600012-1	PROCEDIMIENTO	910	945	Exploración retroperitoneal derecha	288019006	NARROW	False	False	True
S0004-06142007000600012-1	PROCEDIMIENTO	948	984	Adenectomía de ilíaca derecha y cava	40390002	EXACT	False	False	True
S0004-06142007000600012-1	PROCEDIMIENTO	987	1013	Linfangioplastia con aguja	119952002	EXACT	False	False	False
S0004-06142007000600014-1	PROCEDIMIENTO	365	373	hormonas	122445005	EXACT	False	False	True
S0004-06142007000600014-1	PROCEDIMIENTO	885	954	tumoración paratesticular derecha se procede a su exéresis quirúrgica	176430002	NARROW	False	False	False
S0004-06142007000600014-1	PROCEDIMIENTO	935	1004	exéresis quirúrgica, separándose la tumoración del conducto deferente	128303001	NARROW	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	1158	1223	se introduce un uretrotomo endoscópico hasta la uretra prostática	386544003	NARROW	False	False	True
es-S0004-06142007000900010-1	PROCEDIMIENTO	1373	1410	vejiga y por último se deja una sonda	410021007	EXACT	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	1482	1552	laparotomía hasta la sínfisis del pubis, se revisa de nuevo el abdomen	36519005	EXACT	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	1609	1640	se diseca el espacio de Retzius	70015005	EXACT	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	1643	1713	mediante control radiológico, se palpa la cara anterior de la próstata	418542003	NARROW	False	False	True
es-S0004-06142007000900010-1	PROCEDIMIENTO	1787	1883	con una pinza de anillo y siempre bajo control radiológico se consigue agarrar y extraer la bala	418542003	NARROW	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	2124	2147	se cierra la colostomía	3183007	EXACT	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	2178	2197	la sonda se le deja	118448000	EXACT	False	False	False
es-S0004-06142007000900010-1	PROCEDIMIENTO	640	670	se pone un catéter suprapúbico	429516009	EXACT	False	False	True
es-S0004-06142007000900010-1	PROCEDIMIENTO	763	783	colostomía izquierda	398740003	NARROW	False	False	False
es-S0004-06142007000900012-1	PROCEDIMIENTO	599	648	nefrectomía radical derecha mediante laparoscopia	1017216005	EXACT	False	False	False
es-S0004-06142007000900012-1	PROCEDIMIENTO	658	677	studio macroscópico	168126000	EXACT	False	False	False
es-S0004-06142008000300011-1	PROCEDIMIENTO	1041	1070	se coloca prótesis testicular	77171007	EXACT	False	False	False
es-S0004-06142008000300011-1	PROCEDIMIENTO	1699	1719	pruebas por imágenes	363679005	EXACT	False	False	False
es-S0004-06142008000300011-1	PROCEDIMIENTO	1768	1782	espermiogramas	252928006	EXACT	False	False	False
es-S0004-06142008000300011-1	PROCEDIMIENTO	955	976	orquiectomía inguinal	446481000	EXACT	False	False	False
es-S0004-06142008000300011-1	PROCEDIMIENTO	982	1038	raquianestesia a nivel L3-L4 con bupivacaína hiperbárica	399097000	NARROW	False	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	1014	1024	Hemostasia	372034000	EXACT	False	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	1453	1473	ECO abdómino-pélvica	418394000	EXACT	True	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	2561	2597	paracentesis bajo control ecográfico	710790002	EXACT	False	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	3218	3241	INTERVENCIÓN QUIRÚRGICA	387713003	EXACT	False	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	3382	3429	incisión tipo Chevron y acceso a retroperitoneo	12605005	NARROW	False	False	True
es-S0004-06142008000300012-1	PROCEDIMIENTO	3509	3553	liberación ascendente del paquete intestinal	235418009	NARROW	False	False	True
es-S0004-06142008000300012-1	PROCEDIMIENTO	3566	3603	ligadura de vena mesentérica inferior	32675000	NARROW	False	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	3639	3731	seccionando los ligamentos redondo, coronario, triangulares derecho e izquierdo y falciforme	433016000	NARROW	False	False	True
es-S0004-06142008000300012-1	PROCEDIMIENTO	3748	3787	se libera el riñón izquierdo y su hilio	38755008	NARROW	False	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	3829	3855	liberación de la vena cava	38755008	NARROW	False	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	4213	4242	clampaje de pedículo hepático	360158007	NARROW	False	False	True
es-S0004-06142008000300012-1	PROCEDIMIENTO	4244	4263	maniobra de Pringle	360158007	NARROW	False	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	4311	4320	cavotomía	367425007	NARROW	False	False	False
es-S0004-06142008000300012-1	PROCEDIMIENTO	4323	4367	apertura VRI, extracción completa del trombo	43810009	NARROW	True	False	True
es-S0004-06142008000300012-1	PROCEDIMIENTO	4394	4413	ANATOMÍA PATOLÓGICA	108257001	EXACT	False	False	False
es-S0004-06142008000300013-1	PROCEDIMIENTO	1569	1593	litotricia extracorpórea	44345001	EXACT	False	False	False
es-S0004-06142008000300013-1	PROCEDIMIENTO	1888	1898	Ecografías	16310003	EXACT	False	False	False
es-S0004-06142008000300013-1	PROCEDIMIENTO	966	984	drenaje percutáneo	122462000	NARROW	False	False	False
es-S0004-06142008000400011-2	PROCEDIMIENTO	268	286	cirugía prostática	741007	EXACT	False	False	False
es-S0004-06142008000400011-2	PROCEDIMIENTO	463	478	estudio doppler	1187106001	EXACT	False	False	False
es-S0004-06142008000400011-2	PROCEDIMIENTO	558	579	TAC post orquiectomía	446564006	NARROW	True	False	False
es-S0004-06142008000400011-2	PROCEDIMIENTO	68	94	linfadenectomía obturatriz	58347006	NARROW	False	False	True
es-S0004-06142008000400011-2	PROCEDIMIENTO	689	710	orquiectomía inguinal	446481000	EXACT	False	False	False
es-S0004-06142008000400011-2	PROCEDIMIENTO	822	871	quimioterapia citorreductiva según esquema R-CHOP	722491009	EXACT	False	False	False
es-S0004-06142008000400011-2	PROCEDIMIENTO	979	999	esquema IFOVM / DHAP	367336001	NARROW	True	False	False
es-S0004-06142008000400013-1	PROCEDIMIENTO	1148	1187	histerectomía total y doble anexectomía	86477000	EXACT	False	False	False
