filename	label	span_ini	span_end	term	code	sem_rel	is_abbrev	is_composite	need_context
S0004-06142006000500002-2	SINTOMA	819	851	a nivel hepático varias imágenes	442684004	EXACT	False	False	True
es-S1130-01082008001000008-1	SINTOMA	245	291	abombamiento de todo el recto anterior derecho	871692005	NARROW	False	False	True
es-S0210-48062009000400015-2	SINTOMA	35	46	accidentado	417746004	EXACT	False	False	True
es-S1139-76322016000300016-2	SINTOMA	688	709	acidosis respiratoria	12326000	EXACT	False	False	False
es-S1130-63432014000500008-1	SINTOMA	1999	2026	acortándose el intervalo QT	77867006	EXACT	False	False	False
es-S0376-78922007000300006-3	SINTOMA	261	292	actitud en semiflexión del dedo	424478004	EXACT	False	False	True
es-S0365-66912007000100010-1	SINTOMA	1623	1650	actividad a nivel orbitario	246912006	NARROW	False	False	True
es-S0376-78922009000300005-1	SINTOMA	425	449	actividad sexual regular	228453005	EXACT	False	False	False
es-S0212-71992005000600008-1	SINTOMA	2190	2245	acúmulos hipercaptantes en esqueleto axial y periférico	88230002	NARROW	False	False	False
es-S0210-48062006000400012-1	SINTOMA	1358	1390	adecuado desarrollo pondoestural	23397005	NARROW	False	False	False
es-S0365-66912012000800005-1	SINTOMA	978	1006	adelgazamiento en ambos ojos	128127008	NARROW	False	False	True
es-S1130-01082005001200011-1	SINTOMA	2510	2541	afectación de la memoria visual	9236007	NARROW	False	False	True
es-S0365-66912012000300005-1	SINTOMA	1618	1661	afectación del tercio inferior de la vagina	25658005	NARROW	False	False	False
es-S0211-57352013000300011-1	SINTOMA	3551	3569	afectación frontal	129606007	EXACT	False	False	True
es-S0211-57352013000300011-1	SINTOMA	1512	1577	afectación izquierda temporoparietal que se rodea de amplio edema	195216008	NARROW	False	False	True
es-S0365-66912012000300005-1	SINTOMA	855	880	afectación macular en ojo	312999006	EXACT	False	False	False
es-S1137-66272010000400007-1	SINTOMA	2051	2095	afectaciones renales eran de tipo glomerular	197679002	EXACT	False	False	False
es-S0210-48062004000200011-1	SINTOMA	3188	3210	agregación plaquetaria	117294002	EXACT	False	False	False
es-S0211-57352013000300011-1	SINTOMA	2461	2479	aislamiento social	422650009	EXACT	False	False	True
es-S1139-76322016000400018-1	SINTOMA	484	504	alcalosis metabólica	1388004	EXACT	False	False	False
es-S0376-78922008000400008-1	SINTOMA	1781	1793	aleteo nasal	248568003	EXACT	False	False	False
es-S1134-80462015000500005-1	SINTOMA	733	749	alodinia cutánea	403597003	EXACT	False	False	False
es-S0210-48062009000200019-1	SINTOMA	1621	1648	alteración a nivel colónico	128524007	EXACT	False	False	False
es-S0365-66912007000900016-1	SINTOMA	1567	1626	alteración del epitelio pigmentario retiniano (EPR) macular	421689001	EXACT	True	False	False
es-S0211-69952016000600552-1	SINTOMA	2782	2840	alteración en el control de movimientos de la mano derecha	15929741000119101	NARROW	False	False	False
es-S1137-66272014000200013-1	SINTOMA	1093	1111	alteración nodular	129733003	EXACT	False	False	True
es-S1137-66272016000300010-1	SINTOMA	1283	1333	alteraciones de la repolarización, despolarización	44808001	NARROW	False	False	False
es-S0212-71992008000700009-1	SINTOMA	1049	1069	alteraciones del ojo	371405004	EXACT	False	False	False
es-S1134-80462009000500006-1	SINTOMA	1000	1022	alteraciones del sueño	39898005	EXACT	False	False	False
es-S1137-66272009000500016-1	SINTOMA	1786	1833	alteraciones en hígado, bazo, vejiga ni riñones	249561001	NARROW	False	False	False
es-S1130-63432014000500008-1	SINTOMA	483	516	alteraciones en la repolarización	44808001	NARROW	False	False	False
es-S1134-80462005000100007-1	SINTOMA	963	996	alteraciones en la repolarización	44808001	NARROW	False	False	False
es-S1699-695X2015000300013-1	SINTOMA	692	736	alteraciones en los reflejos osteotendinosos	46670006	EXACT	False	False	False
es-S1130-63432014000500008-1	SINTOMA	655	700	alteraciones muy difusas en la repolarización	44808001	NARROW	False	False	False
es-S1137-66272016000300010-1	SINTOMA	1415	1456	alteraciones pleuroparenquimatosas agudas	60485005	EXACT	False	False	True
es-S0211-57352013000300011-1	SINTOMA	2433	2459	alucinaciones cenestésicas	85550003	EXACT	False	False	False
es-S0212-71992004001100006-1	SINTOMA	1125	1157	alucinaciones visuales complejas	64269007	NARROW	False	False	False
es-S0376-78922008000400008-1	SINTOMA	3581	3647	ambas córneas se apreció una nata fibrosa por esfacelación corneal	91514001	NARROW	False	False	False
es-S0376-78922008000400008-1	SINTOMA	4479	4513	Ambos párpados mostraron sinequias	246829005	EXACT	False	False	True
es-S1698-44472004000400011-1	SINTOMA	1940	1952	ameloblastos	20462008	EXACT	False	False	True
es-S1887-85712016000100005-1	SINTOMA	1375	1414	Anestesia y parálisis total del miembro	86022000	NARROW	False	False	True
es-S0365-66912012000700004-1	SINTOMA	417	458	anillo perimacular de puntos blanquecinos	414639009	NARROW	False	False	False
es-S0211-57352013000300011-1	SINTOMA	2509	2526	ánimo hipertímico	30819006	NARROW	False	False	False
es-S0376-78922016000200011-1	SINTOMA	1816	1850	anomalías en el parénquima mamario	129792006	EXACT	False	False	True
es-S0365-66912007001000008-1	SINTOMA	1529	1553	anomalías epileptiformes	43400009	EXACT	False	False	False
es-S0378-48352004001000003-1	SINTOMA	1179	1187	antiHBs-	406117000	EXACT	False	False	False
es-S1130-01082009000200016-1	SINTOMA	691	741	apéndice de tamaño normal y ligeramente congestivo	8744003	NARROW	False	False	False
es-S1135-76062005000100002-1	SINTOMA	2577	2643	aplanamiento del hemisferio derecho, sobre todo del lóbulo frontal	195217004	NARROW	False	False	True
es-S1888-75462015000400006-1	SINTOMA	1245	1297	apoyo monopodal alterno derecho-izquierdo es estable	282300003	NARROW	False	False	True
es-S0376-78922007000300006-3	SINTOMA	439	501	área hipoecogénica alrededor del tendón flexor del dedo índice	116311003	NARROW	False	False	False
